Section,Question,Type,Required,Options
"About you","What is your age group?","Single choice","Yes","Under 18 | 18-24 | 25-34 | 35-44 | 45-54 | 55 or above"
"About you","Gender (optional)","Single choice","No","Female | Male | Prefer not to say | Other"
"About you","Where do you live?","Single choice","Yes","Metro city | Tier-2 city | Small town | Village / rural area"
"About you","Which best describes your work?","Single choice","Yes","Student | Salaried professional | Business / self-employed | Homemaker | Retired | Not currently working | Other"
"About you","Which language are you most comfortable reading in?","Single choice","Yes","English | Hindi | Telugu | Tamil | Kannada | Other"
"Astrology in your life","How much does astrology influence your decisions?","Linear scale (1-5)","Yes","1 = Not at all | 5 = It guides major decisions"
"Astrology in your life","Which of these do you follow?","Multiple choice","Yes","Vedic / Hindu jyotish | Sun-sign horoscopes | Numerology | Tarot | Palmistry | Chinese astrology | None in particular | Other"
"Astrology in your life","How do you usually engage with astrology?","Multiple choice","Yes","A family or personal astrologer | A mobile app | A website | YouTube or social media | WhatsApp forwards / messages | Newspaper or magazine | Temple or priest | Panchang / calendar | I don't actively follow it"
"When and why","How often do you check or think about astrology?","Single choice","Yes","Daily | A few times a week | Mainly on festivals or special days | Only before big decisions | Rarely"
"When and why","What usually makes you check?","Multiple choice","Yes","A daily habit | An upcoming decision | Feeling worried or uncertain | An important event or date | Curiosity | Someone suggested it"
"When and why","After checking astrology, you usually feel...","Single choice","Yes","Calmer / reassured | More prepared / informed | More anxious / worried | No strong effect | It depends"
"What matters to you","Which life areas do you most seek astrological guidance for? (choose up to 3)","Multiple choice","Yes","Career / job | Money & finances | Marriage & relationships | Children | Health | Family matters | Property & home | Travel or moving abroad | Education | Legal matters | Spirituality | General daily luck"
"What matters to you","Of those, the single most important to you","Single choice","Yes","Career / job | Money & finances | Marriage & relationships | Children | Health | Family matters | Property & home | Travel or moving abroad | Education | Legal matters | Spirituality | General daily luck"
"What matters to you","When making a major decision (marriage, job, buying property), how important is choosing an auspicious time (muhurtham)?","Linear scale (1-5)","Yes","1 = Not important | 5 = Very important"
"What matters to you","How often do you check daily timings (like rahu kalam / good and bad times)?","Single choice","Yes","Daily | Sometimes | Only for important tasks | Never"
"How you like to receive it","For a daily astrology insight, what length do you prefer?","Single choice","Yes","One line | A short paragraph | A detailed explanation"
"How you like to receive it","In what format do you prefer astrology content?","Multiple choice","Yes","Text to read | Audio to listen to | Short video or story cards | Image / infographic"
"How you like to receive it","When would you most want a daily insight?","Single choice","Yes","Early morning | With breakfast | Evening | Only when I ask for it | I don't want scheduled updates"
"Detail and understanding","How comfortable are you with technical terms (e.g., dasha, nakshatra, house, transit)?","Linear scale (1-5)","Yes","1 = Unfamiliar | 5 = Very comfortable"
"Detail and understanding","When you get astrological advice, you prefer...","Single choice","Yes","Just tell me what to do | Tell me what to do, and briefly why | I want the full technical detail"
"Detail and understanding","Would you like to gradually learn how astrology works?","Single choice","Yes","Yes, definitely | A little | No, keep it simple"
"What you do about it","If told you were in a difficult period, what would you most want?","Multiple choice","Yes","A clear explanation | Practical do's and don'ts | Remedies (gemstone, mantra, fast, donation) | Reassurance | Timing for when it will improve | To consult a real astrologer"
"What you do about it","Have you ever followed a remedy suggested by astrology (gemstone, mantra, fast, puja, donation)?","Single choice","Yes","Yes, regularly | Yes, sometimes | Once or twice | Never"
"What you do about it","How valuable would help finding an auspicious date/time for events be to you?","Linear scale (1-5)","Yes","1 = Not valuable | 5 = Very valuable"
"What you do about it","For serious matters, whom do you prefer?","Single choice","Yes","A human astrologer | Apps or websites | A mix of both | I decide myself"
"Trust","What makes you TRUST an astrology reading?","Multiple choice","Yes","It's specific to my birth details | It explains the reasoning | It has been accurate before | Recommended by someone I trust | It's based on proper calculations | The source or person is reputable"
"Trust","What makes you DISTRUST a reading?","Multiple choice","Yes","Too vague or generic | Only negative or fear-based | Asks for money to remove problems | Past predictions failed | Too pushy or salesy"
"Trust","Have you ever felt frightened or discouraged by an astrology prediction?","Single choice","Yes","Yes, more than once | Once or twice | No"
"Trust","Which topics would you NOT want predicted bluntly?","Multiple choice","Yes","Health / illness | Death or longevity | Marriage failure or divorce | Financial loss | Problems with children | None - I prefer full honesty"
"Value","Do you currently pay for astrology services?","Single choice","Yes","Yes, regularly | Occasionally | Only for big events (e.g., matchmaking) | Never"
"Value","What would you consider worth paying for?","Multiple choice","Yes","A detailed personal reading | Remedy guidance | Auspicious timing | Talking to an astrologer | Daily guidance | Learning material | I wouldn't pay for astrology"
"Value","Roughly how much would you pay per month for astrology guidance you found genuinely useful?","Single choice","Yes","Nothing | Under Rs 100 | Rs 100-300 | Rs 300-1000 | More than Rs 1000"
"In your own words","What is the ONE question about your life you most wish astrology could answer?","Short answer","No",""
"In your own words","Is there anything you wish astrologers or astrology apps did better?","Paragraph","No",""
